"","ITSall_OTUa_401","ITSall_OTUa_4157","ITSall_OTUa_6855","ITSall_OTUa_3084","ITSall_OTUa_6893","ITSall_OTUa_7485","ITSall_OTUa_7462","ITSall_OTUa_5325","ITSall_OTUa_5502","ITSall_OTUa_6381","ITSall_OTUa_6576","ITSall_OTUa_6551","ITSall_OTUa_6053","ITSall_OTUa_5972","ITSall_OTUa_5973","ITSall_OTUa_6254","ITSall_OTUa_6261","ITSall_OTUa_9575","ITSall_OTUa_10314","ITSall_OTUa_10365","ITSall_OTUa_9937","ITSall_OTUa_9996","ITSall_OTUa_10053","ITSall_OTUa_8438","ITSall_OTUa_7833","ITSall_OTUa_7880","ITSall_OTUa_8100","ITSall_OTUa_8102","ITSall_OTUa_8041","ITSall_OTUa_8958","ITSall_OTUa_9076","ITSall_OTUa_9059","ITSall_OTUa_8755","ITSall_OTUa_8686","ITSall_OTUa_1901","ITSall_OTUa_2064","ITSall_OTUa_2043","ITSall_OTUa_1664","ITSall_OTUa_1585","ITSall_OTUa_1865","ITSall_OTUa_2837","ITSall_OTUa_2802","ITSall_OTUa_2354","ITSall_OTUa_2247","ITSall_OTUa_2231","ITSall_OTUa_2280","ITSall_OTUa_2266","ITSall_OTUa_2388","ITSall_OTUa_2442","ITSall_OTUa_593","ITSall_OTUa_601","ITSall_OTUa_747","ITSall_OTUa_774","ITSall_OTUa_661","ITSall_OTUa_674","ITSall_OTUa_697","ITSall_OTUa_168","ITSall_OTUa_43","ITSall_OTUa_12","ITSall_OTUa_22","ITSall_OTUa_229","ITSall_OTUa_1335","ITSall_OTUa_1443","ITSall_OTUa_1484","ITSall_OTUa_938","ITSall_OTUa_962","ITSall_OTUa_839","ITSall_OTUa_1102","ITSall_OTUa_1164","ITSall_OTUa_996","ITSall_OTUa_1049","ITSall_OTUa_4426","ITSall_OTUa_4435","ITSall_OTUa_4359","ITSall_OTUa_4340","ITSall_OTUa_4570","ITSall_OTUa_4576","ITSall_OTUa_4614","ITSall_OTUa_4444","ITSall_OTUa_4463","ITSall_OTUa_3981","ITSall_OTUa_4034","ITSall_OTUa_4263","ITSall_OTUa_4152","ITSall_OTUa_5030","ITSall_OTUa_5067","ITSall_OTUa_4815","ITSall_OTUa_4788","ITSall_OTUa_4794","ITSall_OTUa_4857","ITSall_OTUa_3502","ITSall_OTUa_3553","ITSall_OTUa_3405","ITSall_OTUa_3802","ITSall_OTUa_3707","ITSall_OTUa_3856","ITSall_OTUb_6028","ITSall_OTUb_4809","ITSall_OTUb_4557","ITSall_OTUb_5461","ITSall_OTUb_8154","ITSall_OTUb_8232","ITSall_OTUb_8427","ITSall_OTUb_6702","ITSall_OTUb_6929","ITSall_OTUb_7634","ITSall_OTUb_7278","ITSall_OTUb_390","ITSall_OTUb_211","ITSall_OTUb_196","ITSall_OTUb_1031","ITSall_OTUb_3378","ITSall_OTUb_2830","ITSall_OTUb_2863","ITSall_OTUb_3126","ITSall_OTUb_2946","ITSall_OTUc_2249","ITSall_OTUc_2419","ITSall_OTUc_441","ITSall_OTUc_648","ITSall_OTUc_6","ITSall_OTUc_901","ITSall_OTUd_5636","ITSall_OTUd_6445","ITSall_OTUd_7168","ITSall_OTUd_5388","ITSall_OTUd_5066","ITSall_OTUd_5336","ITSall_OTUd_8544","ITSall_OTUd_8555","ITSall_OTUd_8225","ITSall_OTUd_8178","ITSall_OTUd_1745","ITSall_OTUd_1918","ITSall_OTUd_1522","ITSall_OTUd_2034","ITSall_OTUd_2037","ITSall_OTUd_2289","ITSall_OTUd_31","ITSall_OTUd_34","ITSall_OTUd_40","ITSall_OTUd_43","ITSall_OTUd_84","ITSall_OTUd_59","ITSall_OTUd_220","ITSall_OTUd_187","ITSall_OTUd_195","ITSall_OTUd_241","ITSall_OTUd_1159","ITSall_OTUd_1322","ITSall_OTUd_1237","ITSall_OTUd_727","ITSall_OTUd_873","ITSall_OTUd_4219","ITSall_OTUd_4375","ITSall_OTUd_4248","ITSall_OTUd_3827","ITSall_OTUd_3831","ITSall_OTUd_3990","ITSall_OTUd_3982","ITSall_OTUd_4784","ITSall_OTUd_4980","ITSall_OTUd_4443","ITSall_OTUd_4634","ITSall_OTUd_4646","ITSall_OTUd_4586","ITSall_OTUd_2981","ITSall_OTUd_2704","ITSall_OTUd_2705","ITSall_OTUd_2681","ITSall_OTUd_2868","ITSall_OTUd_2875","ITSall_OTUd_2820","ITSall_OTUd_2823","ITSall_OTUd_3580","ITSall_OTUd_3336"
"EXCU",98,0,0,0,0,0,0,10.3333333333333,0,0,0,0,0,0,3,0,0,0,0,11.3333333333333,0,0,0,0,16.6666666666667,0,174,0,4,0,11,0,0,30.3333333333333,0,5,0,20.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,75.6666666666667,0,0,0,0,0,4.66666666666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6666666666667,0,0,0,0,0,0,0,0,0,0,70.6666666666667,0,0,12.3333333333333,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24.6666666666667,0,0,0,0,313.666666666667,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"hase",3.66666666666667,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,20.6666666666667,0,0,0,0,0,0,0,0,14.6666666666667,0,0,0,0,0,0,0,41,0,0,11.6666666666667,14,0,0,0,0,0,0,0,0,0,0,21.6666666666667,0,0,21,0,7.33333333333333,0,0,0,0,0,0,0,108,25,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,133.666666666667,0,0,0,0,0,0,0,7,0,0,102.666666666667,0,0,0,0,0,15.3333333333333,0,0,0,9.66666666666667,0,0,0,0,0,0,0,58,0,0,0,0,0,0,718.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isan",21.6666666666667,0,0,0,0,195,0,0,6,0,4.33333333333333,0,0,0,0,0,0,392.333333333333,0,0,0,0,0,0,0,0,42.6666666666667,0,6.33333333333333,0,0,0,0,0,46,0,0,3.66666666666667,0,0,0,0,0,0,0,6,0,0,0,45.6666666666667,0,0,0,45.6666666666667,0,0,3,0,0,9,0,0,64.3333333333333,0,0,0,0,0,0,0,10,0,5.33333333333333,0,0,0,0,0,0,0,6.33333333333333,0,0,0,52.6666666666667,0,0,0,4.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.6666666666667,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,85,41,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0,0,0,0,0,0,10.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6666666666667,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"jasc",14,0,0,0,0,0,6.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,7.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.33333333333333,0,0,0,0,0,0,0,172,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66666666666667,0,0,0,0,0,0,1155.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASC",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6666666666667,0,0,0,0,0,0,0,0,0,0,0,1049.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,13,0,0,0,0,0,0,0,0,0
"leer",22.6666666666667,0,0,0,0,1.5,0,1.66666666666667,2.16666666666667,0,0,0,0,2.83333333333333,4.16666666666667,0,0,7.66666666666667,0,0,0,0,0,0,0,0,20.6666666666667,0,0,0,0,0,0,0,9,0,0,0,3.5,0,0,0,0,0,0,2,7.5,1.83333333333333,0,0,0,0,11.1666666666667,2.83333333333333,0,0,0,0,0,0,0,2.5,18,6.66666666666667,0,15.8333333333333,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,3,0,1.5,4.5,0,0,91.6666666666667,2.66666666666667,0,0,0,0,0,1.83333333333333,0,0,0,309.666666666667,0,0,0,0,0,0,0,0,0,845.5,0,0,11.8333333333333,0,0,0,0,0,0,0,0,0,0,0,168.333333333333,0,0,0,0,0,0,0,0,0,0,4.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8333333333333,0,0,0,0,1.83333333333333,0,2.83333333333333,2.16666666666667,0,0,0,0,0,0,0,0,1.83333333333333,0,0,0,0,0,0,0,0,0,0
"lepa",49.6666666666667,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,80.6666666666667,7.66666666666667,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36.6666666666667,0,0,0,0,15.3333333333333,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,113.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3333333333333,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66666666666667,0
"LEPA",3.75,0,0,63.25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22.25,0,0,0,4.75,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,30,0,0,0,0,0,2.25,0,0,0,0,30.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mede",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,4,0,0,0,0,0,4.33333333333333,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.666666666667,4,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4.33333333333333,0,25.3333333333333,0,0,0,0,0,172.666666666667,0,0,0,0,0,0,4,0,0,3.66666666666667,0,0,0,0,0,0,0,0,38.6666666666667,83.6666666666667,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6666666666667,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEDE",0,0,16,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.666666666667,0,0,0,0,0,0,0,0,4.33333333333333,0,0,0,0,16.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6666666666667,0,0,0,0,0,4,55.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66666666666667,0,0,0,0,0,0,0,16.3333333333333,0,12,0,0,0,0,0,0,0,0,0,0,0,63.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"olst",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,84,3.33333333333333,7,0,0,5.66666666666667,0,0,0,0,0,0,0,0,7.66666666666667,0,0,0,0,0,0,0,0,0,0,30,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,4,0,0,0,0,0,0,0,0,0,81.3333333333333,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672.33333333333,0,0,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
